handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,31.0,true,,,InStock,,,,,Wax Seal,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,573.0,true,,,InStock,,,,,Reception card,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,155.0,true,,,InStock,,,,,Wax Seal,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,108.0,true,,,InStock,,,,,Envelope liner - Solid color,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,468.0,true,,,InStock,,,,,Reception card,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,1503.0,true,,,InStock,,,,,Invitation,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,60.0,true,,,InStock,,,,,Envelope liner - Digital,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,38.0,true,,,InStock,,,,,Envelope liner - Digital,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,54.0,true,,,InStock,,,,,Envelope liner - Solid color,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,160.0,true,,,InStock,,,,,Envelope liner - Digital,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,376.0,true,,,InStock,,,,,Reception card,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,633.0,true,,,InStock,,,,,Invitation,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,592.0,true,,,InStock,,,,,Reply set,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,43.0,true,,,InStock,,,,,Return address,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,59.0,true,,,InStock,,,,,Return address,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,791.0,true,,,InStock,,,,,Invitation,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,388.0,true,,,InStock,,,,,Reply set,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,124.0,true,,,InStock,,,,,Wax Seal,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,28.0,true,,,InStock,,,,,Return address,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,40.0,true,,,InStock,,,,,Envelope liner - Solid color,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,33.0,true,,,InStock,,,,,Return address,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,93.0,true,,,InStock,,,,,Wax Seal,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,248.0,true,,,InStock,,,,,Wax Seal,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,94.0,true,,,InStock,,,,,Envelope liner - Solid color,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,483.0,true,,,InStock,,,,,Reply set,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,554.0,true,,,InStock,,,,,Invitation,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,969.0,true,,,InStock,,,,,Invitation,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,918.0,true,,,InStock,,,,,Reply set,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,784.0,true,,,InStock,,,,,Reception card,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,132.0,true,,,InStock,,,,,Envelope liner - Digital,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,217.0,true,,,InStock,,,,,Wax Seal,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,422.0,true,,,InStock,,,,,Reception card,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,49.0,true,,,InStock,,,,,Return address,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,81.0,true,,,InStock,,,,,Envelope liner - Solid color,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,187.0,true,,,InStock,,,,,Envelope liner - Digital,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,1147.0,true,,,InStock,,,,,Invitation,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,700.0,true,,,InStock,,,,,Reply set,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,115.0,true,,,InStock,,,,,+ Ink Color 2,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,215.0,true,,,InStock,,,,,Envelope liner - Digital,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,186.0,true,,,InStock,,,,,Wax Seal,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,25.0,true,,,InStock,,,,,Return address,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,678.0,true,,,InStock,,,,,Reception card,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,436.0,true,,,InStock,,,,,Reply set,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,330.0,true,,,InStock,,,,,Reception card,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,54.0,true,,,InStock,,,,,Return address,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,13.0,true,,,InStock,,,,,Envelope liner - Solid color,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,27.0,true,,,InStock,,,,,Envelope liner - Solid color,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,105.0,true,,,InStock,,,,,Envelope liner - Digital,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2733b57d-8cd1-c1e2-ea61-98198ab16a05,Variant,,,,,,,,809.0,true,,,InStock,,,,,Reply set,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Product,Twice Rounded,"<p><em>Designed by Carlson Craft.</em></p><p>5.75 x 9.25""&nbsp; Beautiful,&nbsp;Luxe invitation shown with White and Ecru&nbsp;130 lb. stock + Rounded Edges + Rounded Embossed Frame.</p><p>Silver Thermography is featured for Invitation and Enclosures.&nbsp;</p><p>Customize the wording in ink color&nbsp;to match your wedding theme!</p><p>Return address on v-flap envelope is Digital print.</p><p>Elevate your invitation with optional&nbsp;printed design or solid color Envelope liner.</p><p>Ecru Shimmer is shown as solid color liner.</p><p>Enclosures are priced as 130 lb. matching stock + Rounded Edges + Embossed Frame.</p><p>Request paper color, and change of font or ink color in Special instructions.</p>",506c6a_71fa4c6bf59e431c9d2284053ff70225~mv2.jpg;506c6a_7fc3b63f328b4841bd339c979e6243d2~mv2.jpg;506c6a_14348ade5697471abcc6475ee0232fa8~mv2.jpg;506c6a_c279f9046ec74c5db872338c3fffa1aa~mv2.jpg;506c6a_c99c2005a2c340bd8720f521c6b0fb63~mv2.jpg;506c6a_5d5f5642370047d1bb2ec2ca31a2ae02~mv2.jpg;506c6a_9bf1f50b5621494abb80c9482f16481b~mv2.jpg;506c6a_c15bb67a15ef42039922240109531c28~mv2.jpg;506c6a_c9223e800c0f4461ae7c7fb575be10d4~mv2.jpg;506c6a_05eaea6fb70e485d95e4144a1b499d4c~mv2.jpg;506c6a_0c13224769914555b176378675a34220~mv2.jpg;506c6a_5971fd7df1a94adc960da32807e4566f~mv2.jpg,Wedding,,,0.0,,true,PERCENT,0.0,InStock,0.0,,Item selection,DROP_DOWN,Invitation;Return address;Envelope liner - Solid color;Envelope liner - Digital;Reception card;Reply set;Wax Seal,Quantity,DROP_DOWN,25;50;75;100;125;150;175;200,,,,,,,,,,,,,,,,,,,,,,,,,Your wording,500,false,Special instructions,500,false,Carlson Craft
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,85.0,true,,,InStock,,,,,Envelope liner - Digital,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,557.0,true,,,InStock,,,,,Invitation,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,67.0,true,,,InStock,,,,,Envelope liner - Solid color,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,256.0,true,,,InStock,,,,,Reception card,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,38.0,true,,,InStock,,,,,Return address,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,300.0,true,,,InStock,,,,,Invitation,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,62.0,true,,,InStock,,,,,Wax Seal,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,109.0,true,,,InStock,,,,,Reply set,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,31.0,true,,,InStock,,,,,Wax Seal,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,164.0,true,,,InStock,,,,,Reception card,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,155.0,true,,,InStock,,,,,Wax Seal,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,108.0,true,,,InStock,,,,,Envelope liner - Solid color,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,134.0,true,,,InStock,,,,,Reception card,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,632.0,true,,,InStock,,,,,Invitation,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,60.0,true,,,InStock,,,,,Envelope liner - Digital,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,38.0,true,,,InStock,,,,,Envelope liner - Digital,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,54.0,true,,,InStock,,,,,Envelope liner - Solid color,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,160.0,true,,,InStock,,,,,Envelope liner - Digital,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,110.0,true,,,InStock,,,,,Reception card,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,269.0,true,,,InStock,,,,,Invitation,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,183.0,true,,,InStock,,,,,Reply set,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,43.0,true,,,InStock,,,,,Return address,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,59.0,true,,,InStock,,,,,Return address,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,332.0,true,,,InStock,,,,,Invitation,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,122.0,true,,,InStock,,,,,Reply set,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,124.0,true,,,InStock,,,,,Wax Seal,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,28.0,true,,,InStock,,,,,Return address,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,40.0,true,,,InStock,,,,,Envelope liner - Solid color,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,33.0,true,,,InStock,,,,,Return address,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,93.0,true,,,InStock,,,,,Wax Seal,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,248.0,true,,,InStock,,,,,Wax Seal,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,94.0,true,,,InStock,,,,,Envelope liner - Solid color,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,149.0,true,,,InStock,,,,,Reply set,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,237.0,true,,,InStock,,,,,Invitation,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,407.0,true,,,InStock,,,,,Invitation,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,284.0,true,,,InStock,,,,,Reply set,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,225.0,true,,,InStock,,,,,Reception card,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,132.0,true,,,InStock,,,,,Envelope liner - Digital,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,217.0,true,,,InStock,,,,,Wax Seal,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,122.0,true,,,InStock,,,,,Reception card,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,49.0,true,,,InStock,,,,,Return address,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,81.0,true,,,InStock,,,,,Envelope liner - Solid color,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,187.0,true,,,InStock,,,,,Envelope liner - Digital,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,482.0,true,,,InStock,,,,,Invitation,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,216.0,true,,,InStock,,,,,Reply set,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,215.0,true,,,InStock,,,,,Envelope liner - Digital,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,186.0,true,,,InStock,,,,,Wax Seal,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,25.0,true,,,InStock,,,,,Return address,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,195.0,true,,,InStock,,,,,Reception card,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,136.0,true,,,InStock,,,,,Reply set,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,99.0,true,,,InStock,,,,,Reception card,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_62674844-bc05-ab86-9b01-944f72eed589,Variant,,,,,,,,54.0,true,,,InStock,,,,,Return address,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
